namespace,extension_uid,version_label
Devart.Data.Linq,com.castsoftware.dotnet.ado,1.0.0-beta2
Devart.Data.MySql,com.castsoftware.dotnet.ado,1.0.0-beta2
Devart.Data.Oracle,com.castsoftware.dotnet.ado,1.0.0-alpha2
Devart.Data.PostgreSql,com.castsoftware.dotnet.ado,1.0.0-beta2
Devart.Data.SQLite,com.castsoftware.dotnet.ado,1.0.0-beta2
DotNetCore.CAP,com.castsoftware.dotnet.kafka,1.0.1-funcrel
DotNetCore.CAP,com.castsoftware.dotnet.rabbitmq,1.0.0-beta2
DotNetNuke.Data.PetaPoco,com.castsoftware.dotnet.petapoco,1.0.0-funcrel
EFCore.BulkExtensions,com.castsoftware.entity,2.2.8-funcrel
EasyNetQ,com.castsoftware.dotnet.rabbitmq,1.0.0-beta2
